School Name,Primary Division,Sport Division,Subdivision,Membership Status,Primary Conference,Sport Conference,HBCU/Non-HBCU,Public/Private,Carnegie Classification,City/State,Primary URL,Secondary URL,Primary Icon,Updated Latitude,Updated Longitude
Western Washington University,Division II,Division II,Non-DI,Active Member,Great Northwest Athletic Conference,Great Northwest Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Bellingham, WA",www.wwu.edu/,www.wwuvikings.com,1_1.site.png,48.7544012,-122.4788361
Seattle University,Division I,Division I,DI Subdivision,Active Member,Western Athletic Conference,Western Athletic Conference,Non-HBCU,Private,Research Universities,"Seattle, WA",www.goseattleu.com,www.seattleu.edu/,2_2.favicon.ico,47.6038321,-122.3300624
Saint Martin's University,Division II,Division II,Non-DI,Active Member,Great Northwest Athletic Conference,Great Northwest Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Lacey, WA",www.smusaints.com,www.stmartin.edu/,3_3.favicon.ico,47.0263876,-122.8072257
Pacific Lutheran University,Division III,Division III,Non-DI,Active Member,Northwest Conference,Northwest Conference,Non-HBCU,Private,Master's Colleges & Universities,"Tacoma, WA",www.golutes.com,www.plu.edu/,4_4.site.png,47.2495798,-122.4398746
University of Puget Sound,Division III,Division III,Non-DI,Active Member,Northwest Conference,Northwest Conference,Non-HBCU,Private,Baccalaureate Colleges,"Tacoma, WA",www.loggerathletics.com,www.pugetsound.edu,5_5.favicon-194x194.png,47.2495798,-122.4398746
Seattle Pacific University,Division II,Division II,Non-DI,Active Member,Great Northwest Athletic Conference,Great Northwest Athletic Conference,Non-HBCU,Private,Research Universities,"Seattle, WA",www.spu.edu,www.spufalcons.com,6_6.favicon.ico,47.6038321,-122.3300624
Whitworth University,Division III,Division III,Non-DI,Active Member,Northwest Conference,Northwest Conference,Non-HBCU,Private,Master's Colleges & Universities,"Spokane, WA",www.whitworth.edu/,www.whitworthpirates.com,7_7.thumbnail_default.jpg,47.6579425,-117.4212265
Gonzaga University,Division I,Division I,DI Subdivision,Active Member,West Coast Conference,West Coast Conference,Non-HBCU,Private,Research Universities,"Spokane, WA",www.gonzaga.edu,www.gozags.com,8_8.site.png,47.6579425,-117.4212265
Washington State University,Division I,Division I,DI FBS,Active Member,Pac-12 Conference,Pac-12 Conference,Non-HBCU,Public,Research Universities,"Pullman, WA",www.wsu.edu,www.wsucougars.com,9_9.site.png,46.7304268,-117.173895
Eastern Washington University,Division I,Division I,DI FCS,Active Member,Big Sky Conference,Big Sky Conference,Non-HBCU,Public,Master's Colleges & Universities,"Cheney, WA",goeags.com,www.ewu.edu/,10_10.favicon.ico,47.4873895,-117.5757676
University of Idaho,Division I,Division I,DI FCS,Active Member,Big Sky Conference,Big Sky Conference,Non-HBCU,Public,Research Universities,"Moscow, ID",www.govandals.com,www.uidaho.edu/,11_11.favicon.ico,46.7323875,-117.0001651
Central Washington University,Division II,Division II,Non-DI,Active Member,Great Northwest Athletic Conference,Great Northwest Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Ellensburg, WA",cwu.edu,wildcatsports.com,12_12.site.png,46.9970635,-120.5451223
Concordia University Portland,Division II,Division II,Non-DI,Active Member,Great Northwest Athletic Conference,Great Northwest Athletic Conference,Non-HBCU,Private,Research Universities,"Portland, OR",www.cu-portland.edu,www.gocugo.com,,45.5202471,-122.6741949
University of Portland,Division I,Division I,DI Subdivision,Active Member,West Coast Conference,West Coast Conference,Non-HBCU,Private,Master's Colleges & Universities,"Portland, OR",www.portlandpilots.com,www.up.edu/,14_14.site.png,45.5202471,-122.6741949
Pacific University (Oregon),Division III,Division III,Non-DI,Active Member,Northwest Conference,Northwest Conference,Non-HBCU,Private,Research Universities,"Forest Grove, OR",goboxers.com,www.pacificu.edu/,15_15.site.png,45.5197452,-123.1114405
Linfield College,Division III,Division III,Non-DI,Active Member,Northwest Conference,Northwest Conference,Non-HBCU,Private,Baccalaureate Colleges,"McMinnville, OR",www.linfield.edu,www.linfield.edu/sports,16_16.site.png,45.2100367,-123.194463
George Fox University,Division III,Division III,Non-DI,Active Member,Northwest Conference,Northwest Conference,Non-HBCU,Private,Research Universities,"Newberg, OR",www.georgefox.edu,www.gfubruins.com,17_17.thumbnail_default.jpg,45.300596,-122.9725418
Oregon State University,Division I,Division I,DI FBS,Active Member,Pac-12 Conference,Pac-12 Conference,Non-HBCU,Public,Research Universities,"Corvallis, OR",www.oregonstate.edu/,www.osubeavers.com,18_18.site.png,44.5645659,-123.2620435
Western Oregon University,Division II,Division II,Non-DI,Active Member,Great Northwest Athletic Conference,Great Northwest Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Monmouth, OR",www.wou.edu,www.wouwolves.com,19_19.favicon.ico,44.8486414,-123.2290777
Willamette University,Division III,Division III,Non-DI,Active Member,Northwest Conference,Northwest Conference,Non-HBCU,Private,Baccalaureate Colleges,"Salem, OR",willamette.prestosports.com/landing/index,www.willamette.edu/,20_20.thumbnail_default.jpg,44.9391565,-123.033121
University of Oregon,Division I,Division I,DI FBS,Active Member,Pac-12 Conference,Pac-12 Conference,Non-HBCU,Public,Research Universities,"Eugene, OR",www.goducks.com,www.uoregon.edu,21_21.favicon.ico,44.0505054,-123.0950506
Whitman College,Division III,Division III,Non-DI,Active Member,Northwest Conference,Northwest Conference,Non-HBCU,Private,Baccalaureate Colleges,"Walla Walla, WA",www.whitman.edu,www.whitman.edu/content/athletics/welcome/,22_22.apple-touch-icon.png,46.0667277,-118.3393456
University of Montana,Division I,Division I,DI FCS,Active Member,Big Sky Conference,Big Sky Conference,Non-HBCU,Public,Research Universities,"Missoula, MT",www.gogriz.com,www.umt.edu/,23_23.site.png,46.8701049,-113.9952672
Boise State University,Division I,Division I,DI FBS,Active Member,Mountain West Conference,Mountain West Conference,Non-HBCU,Public,Research Universities,"Boise, ID",www.boisestate.edu,www.broncosports.com,24_24.favicon.ico,43.6166163,-116.200886
Northwest Nazarene University,Division II,Division II,Non-DI,Active Member,Great Northwest Athletic Conference,Great Northwest Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Nampa, ID",nnusports.com,www.nnu.edu,25_25.site.png,43.5737361,-116.5596313
Montana State University Billings,Division II,Division II,Non-DI,Active Member,Great Northwest Athletic Conference,Great Northwest Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Billings, MT",www.msubillings.edu,www.msubsports.com,26_26.favicon.ico,45.7874957,-108.49607
Montana State University-Bozeman,Division I,Division I,DI FCS,Active Member,Big Sky Conference,Big Sky Conference,Non-HBCU,Public,Research Universities,"Bozeman, MT",www.montana.edu/,www.msubobcats.com,27_27.favicon.ico,45.6794293,-111.0440474
Idaho State University,Division I,Division I,DI FCS,Active Member,Big Sky Conference,Big Sky Conference,Non-HBCU,Public,Research Universities,"Pocatello, ID",www.isu.edu,www.isubengals.com,28_28.site.png,42.8688613,-112.4401098
University of Utah,Division I,Division I,DI FBS,Active Member,Pac-12 Conference,Pac-12 Conference,Non-HBCU,Public,Research Universities,"Salt Lake City, UT",utahutes.cstv.com/,www.utah.edu/,29_2929_29.logo.svg,40.7596198,-111.8867975
South Dakota School of Mines & Technology,Division II,Division II,Non-DI,Active Member,Rocky Mountain Athletic Conference,Rocky Mountain Athletic Conference,Non-HBCU,Public,Special Focus Schools,"Rapid City, SD",gorockers.com,www.sdmines.sdsmt.edu/sdsmt,30_30.site.png,44.081176,-103.228006
Black Hills State University,Division II,Division II,Non-DI,Active Member,Rocky Mountain Athletic Conference,Rocky Mountain Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Spearfish, SD",www.bhsu.edu,www.bhsuathletics.com/landing/index,31_31.favicon.ico,44.490817,-103.85937
Chadron State College,Division II,Division II,Non-DI,Active Member,Rocky Mountain Athletic Conference,Rocky Mountain Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Chadron, NE",www.chadroneagles.com,www.csc.edu/,32_32.favicon.ico,42.8309807,-103.0003729
University of Wyoming,Division I,Division I,DI FBS,Active Member,Mountain West Conference,Mountain West Conference,Non-HBCU,Public,Research Universities,"Laramie, WY",www.gowyo.com,www.uwyo.edu,33_33.site.png,41.311367,-105.591101
University of Northern Colorado,Division I,Division I,DI FCS,Active Member,Big Sky Conference,Big Sky Conference,Non-HBCU,Public,Research Universities,"Greeley, CO",www.uncbears.com,www.unco.edu,34_34.favicon.ico,40.4233142,-104.7091322
Metropolitan State University of Denver,Division II,Division II,Non-DI,Active Member,Rocky Mountain Athletic Conference,Rocky Mountain Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Denver, CO",www.msudenver.edu,www.roadrunnersathletics.com,35_35.site.png,39.7392364,-104.9848623
