School Name,Primary Division,Sport Division,Subdivision,Membership Status,Primary Conference,Sport Conference,HBCU/Non-HBCU,Public/Private,Carnegie Classification,City/State ,Primary URL,Secondary URL,Latitude,Longitude,Primary Icon,Updated Latitude,Updated Longitude
Austin Peay State University,Division I,Division I,DI FCS,Active Member,Ohio Valley Conference,Ohio Valley Conference,Non-HBCU,Public,Master's Colleges & Universities,"Clarksville, TN",www.apsu.edu,www.apsu.edu/letsgopeay/,36.5277607,-87.3588703,1.favicon.ico.ico,36.5277607,-87.3588703
Frostburg State University,Division III,Division III,Non-DI,Reclass DIII to DII (B20.6.3.1),Mountain East Conference,Mountain East Conference,Non-HBCU,Public,Master's Colleges & Universities,"Frostburg, MD",www.frostburg.edu/,www.frostburgsports.com,39.6581425,-78.928357,2.favicon.ico.ico,39.6581425,-78.928357
West Virginia University,Division I,Division I,DI FBS,Active Member,Big 12 Conference,Big 12 Conference,Non-HBCU,Public,Research Universities,"Morgantown, WV",www.wvu.edu,www.wvusports.com,39.6296809,-79.9559437,3.favicon.ico.ico,39.6296809,-79.9559437
Fairmont State University,Division II,Division II,Non-DI,Active Member,Mountain East Conference,Mountain East Conference,Non-HBCU,Public,Master's Colleges & Universities,"Fairmont, WV",www.fairmontstate.edu,www.fightingfalcons.com,39.4850848,-80.1425781,4.2018%20Fairmont%20State%20Logo%20Mark_Maroon_0.png.png,39.4850848,-80.1425781
Alderson Broaddus University,Division II,Division II,Non-DI,Active Member,Great Midwest Athletic Conference,Great Midwest Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Philippi, WV",ab.edu,www.gobattlers.com,39.1523198,-80.0403578,5.ab2.png.png,39.1523198,-80.0403578
Davis & Elkins College,Division II,Division II,Non-DI,Active Member,Mountain East Conference,Mountain East Conference,Non-HBCU,Private,Baccalaureate Colleges,"Elkins, WV",www.dewv.edu,www.senatornation.com,38.925927,-79.8466552,6.favicon.ico.ico,38.925927,-79.8466552
West Virginia Wesleyan College,Division II,Division II,Non-DI,Active Member,Mountain East Conference,Mountain East Conference,Non-HBCU,Private,Master's Colleges & Universities,"Buckhannon, WV",wesleyanbobcats.com,www.wvwc.edu/,38.9939426,-80.2322698,7.site.png.png,38.9939426,-80.2322698
Salem University (West Virginia),Division II,Division II,Non-DI,Active Member,Independent,Independent,Non-HBCU,Private,Master's Colleges & Universities,"Salem, WV",www.SIUTigerPride.com,www.salemu.edu/,39.2828653,-80.5589856,8.site.png.png,39.2828653,-80.5589856
Glenville State College,Division II,Division II,Non-DI,Active Member,Mountain East Conference,Mountain East Conference,Non-HBCU,Public,Baccalaureate Colleges,"Glenville, WV",www.glenville.edu,www.gscpioneers.com/,38.9342573,-80.8376033,9.favicon.ico.ico,38.9342573,-80.8376033
University of Charleston (West Virginia),Division II,Division II,Non-DI,Active Member,Mountain East Conference,Mountain East Conference,Non-HBCU,Private,Research Universities,"Charleston, WV",www.ucgoldeneagles.com,www.ucwv.edu,38.3505995,-81.6332812,10.site.png.png,38.3505995,-81.6332812
Marietta College,Division III,Division III,Non-DI,Active Member,Ohio Athletic Conference,Ohio Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Marietta, OH",pioneers.marietta.edu/,www.marietta.edu/,39.4167742,-81.4548392,11.favicon.ico.ico,39.4167742,-81.4548392
Ohio Valley University,Division II,Division II,Non-DI,Active Member,Great Midwest Athletic Conference,Great Midwest Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Vienna, WV",fightingscots.ovu.edu/,www.ovu.edu/,39.3208866,-81.5512639,12.site.png.png,39.3208866,-81.5512639
West Virginia State University,Division II,Division II,Non-DI,Active Member,Mountain East Conference,Mountain East Conference,HBCU,Public,Baccalaureate Colleges,"Institute, WV",www.wvstateu.edu,www.wvsuyellowjackets.com,38.3836097,-81.7654665,13.favicon.ico.ico,38.3836097,-81.7654665
Berea College,Division III,Division III,Non-DI,Active Member,USA South Athletic Conference,USA South Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Berea, KY",www.berea.edu,www.bereaathletics.com,37.568694,-84.2963224,14.front_page_image1.png.png,37.568694,-84.2963224
Eastern Kentucky University,Division I,Division I,DI FCS,Active Member,Ohio Valley Conference,Ohio Valley Conference,Non-HBCU,Public,Master's Colleges & Universities,"Richmond, KY",www.eku.edu,www.ekusports.com,37.7478572,-84.2946539,15.favicon.ico.ico,37.7478572,-84.2946539
University of Kentucky,Division I,Division I,DI FBS,Active Member,Southeastern Conference,Southeastern Conference,Non-HBCU,Public,Research Universities,"Lexington, KY",www.ukathletics.com,www.uky.edu,38.0464066,-84.4970393,16.site.png.png,38.0464066,-84.4970393
Transylvania University,Division III,Division III,Non-DI,Active Member,Heartland Collegiate Athletic Conference,Heartland Collegiate Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Lexington, KY",www.transy.edu/,www.transysports.com,38.0464066,-84.4970393,17.favicon.ico.ico,38.0464066,-84.4970393
Kentucky State University,Division II,Division II,Non-DI,Active Member,Southern Intercol. Ath. Conf.,Southern Intercol. Ath. Conf.,HBCU,Public,Baccalaureate Colleges,"Frankfort, KY",www.ksuthorobreds.com,www.kysu.edu/,38.2009055,-84.8732836,18.site.png.png,38.2009055,-84.8732836
Marshall University,Division I,Division I,DI FBS,Active Member,Conference USA,Conference USA,Non-HBCU,Public,Research Universities,"Huntington, WV",www.herdzone.com,www.marshall.edu,38.4192496,-82.445154,,38.4192496,-82.445154
Savannah State University,Division I,Division I,DI FCS,Reclass DI to DII,Southern Intercol. Ath. Conf.,Southern Intercol. Ath. Conf.,HBCU,Public,Master's Colleges & Universities,"Savannah, GA",ssuathletics.com/,www.savannahstate.edu,32.0809263,-81.0911768,20.favicon.ico.ico,32.0809263,-81.0911768
Georgia Southwestern State University,Division II,Division II,Non-DI,Active Member,Peach Belt Conference,Peach Belt Conference,Non-HBCU,Public,Master's Colleges & Universities,"Americus, GA",www.gsw.edu,www.gswcanes.com,32.0723862,-84.2326876,21.favicon.ico.ico,32.0723862,-84.2326876
Kennesaw State University,Division I,Division I,DI FCS,Active Member,ASUN Conference,ASUN Conference,Non-HBCU,Public,Research Universities,"Kennesaw, GA",www.kennesaw.edu/,www.ksuowls.com,34.0234337,-84.6154897,22.favicon.ico.ico,34.0234337,-84.6154897
Berry College,Division III,Division III,Non-DI,Active Member,Southern Athletic Association,Southern Athletic Association,Non-HBCU,Private,Master's Colleges & Universities,"Mount Berry, GA",www.berry.edu,www.berryvikings.com,34.2798482,-85.1820652,23.favicon.ico.ico,34.2798482,-85.1820652
Auburn University,Division I,Division I,DI FBS,Active Member,Southeastern Conference,Southeastern Conference,Non-HBCU,Public,Research Universities,"Auburn, AL",www.auburn.edu,www.auburntigers.com,32.535699,-85.48677785023041,24.auburnuniversity_facebook.jpg.jpg,32.6550905,-85.5036435
Tuskegee University,Division II,Division II,Non-DI,Active Member,Southern Intercol. Ath. Conf.,Southern Intercol. Ath. Conf.,HBCU,Private,Master's Colleges & Universities,"Tuskegee, AL",www.goldentigersports.com/,www.tuskegee.edu,32.4240286,-85.6916195,25.favicon.ico.ico,32.4240286,-85.6916195
Huntingdon College,Division III,Division III,Non-DI,Active Member,USA South Athletic Conference,USA South Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Montgomery, AL",www.huntingdon.edu,www.huntingdonhawks.com,32.3669656,-86.3006485,26.cropped-hlogo-1-32x32.png.png,32.3669656,-86.3006485
Alabama State University,Division I,Division I,DI FCS,Active Member,Southwestern Athletic Conf.,Southwestern Athletic Conf.,HBCU,Public,Master's Colleges & Universities,"Montgomery, AL",www.alasu.edu,www.bamastatesports.com,32.3669656,-86.3006485,27.1920px-Alabama_State_University_seal.svg.png.png,32.3669656,-86.3006485
Jacksonville State University,Division I,Division I,DI FCS,Active Member,Ohio Valley Conference,Ohio Valley Conference,Non-HBCU,Public,Master's Colleges & Universities,"Jacksonville, AL",www.jsu.edu,www.jsugamecocksports.com,33.8269995,-85.78319335989826,28.favicon.ico.ico,33.8269995,-85.7831934
Alabama A&M University,Division I,Division I,DI FCS,Active Member,Southwestern Athletic Conf.,Southwestern Athletic Conf.,HBCU,Public,Master's Colleges & Universities,"Normal, AL",www.aamu.edu,www.aamusports.com/,34.7889792,-86.5719369,29.favicon.ico.ico,34.7889792,-86.5719369
University of Alabama in Huntsville,Division II,Division II,Non-DI,Active Member,Gulf South Conference,Gulf South Conference,Non-HBCU,Public,Research Universities,"Huntsville, AL",www.uah.edu,www.uahchargers.com,34.729847,-86.5859011,30.favicon.ico.ico,34.729847,-86.5859011
University of North Alabama,Division II,Division II,Non-DI,II Reclassifying to I (B20.5.2.1),ASUN Conference,ASUN Conference,Non-HBCU,Public,Master's Colleges & Universities,"Florence, AL",www.roarlions.com,www.una.edu/,34.79981,-87.677251,31.favicon.ico.ico,34.79981,-87.677251
University of North Carolina Wilmington,Division I,Division I,DI Subdivision,Active Member,Colonial Athletic Association,Colonial Athletic Association,Non-HBCU,Public,Research Universities,"Wilmington, NC",www.uncw.edu,www.uncwsports.com,34.2257282,-77.9447107,32.seahawk.ico.ico,34.2257282,-77.9447107
Erskine College,Division II,Division II,Non-DI,Active Member,Conference Carolinas,Conference Carolinas,Non-HBCU,Private,Baccalaureate Colleges,"Due West, SC",www.erskine.edu,www.erskinesports.com,34.3334469,-82.387902,33.favicon.ico.ico,34.3334469,-82.387902
Samford University,Division I,Division I,DI FCS,Active Member,Southern Conference,Southern Conference,Non-HBCU,Private,Research Universities,"Birmingham, AL",samfordsports.com,www.samford.edu/,33.5206824,-86.8024326,34.site.png.png,33.5206824,-86.8024326
University of Alabama at Birmingham,Division I,Division I,DI FBS,Active Member,Conference USA,Conference USA,Non-HBCU,Public,Research Universities,"Birmingham, AL",www.uab.edu,www.uabsports.com,33.5206824,-86.8024326,35.default_uab_fb_image-600.jpg.jpg,33.5206824,-86.8024326
Miles College,Division II,Division II,Non-DI,Active Member,Southern Intercol. Ath. Conf.,Southern Intercol. Ath. Conf.,HBCU,Private,Baccalaureate Colleges,"Fairfield, AL",milesgoldenbears.com/,www.miles.edu,33.4859402,-86.9119366,36.site.png.png,33.4859402,-86.9119366
University of Montevallo,Division II,Division II,Non-DI,Active Member,Gulf South Conference,Gulf South Conference,Non-HBCU,Public,Master's Colleges & Universities,"Montevallo, AL",www.montevallo.edu,www.montevallofalcons.com,33.1006746,-86.8641558,37.gates.jpg.jpg,33.1006746,-86.8641558
University of Alabama,Division I,Division I,DI FBS,Active Member,Southeastern Conference,Southeastern Conference,Non-HBCU,Public,Research Universities,"Tuscaloosa, AL",www.rolltide.com,www.ua.edu,33.2095614,-87.5675258,38.site.png.png,33.2095614,-87.5675258
Brevard College,Division III,Division II,Non-DI,"Active Member, Currently Reclassifying",USA South Athletic Conference,USA South Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Brevard, NC",www.bctornados.com,www.brevard.edu,35.2334472,-82.7342919,39.thumbnail_default.jpg.jpg,35.2334472,-82.7342919
Troy University,Division I,Division I,DI FBS,Active Member,Sun Belt Conference,Sun Belt Conference,Non-HBCU,Public,Master's Colleges & Universities,"Troy, AL",www.troy.edu,www.troytrojans.com,31.8087678,-85.969951,40.favicon.ico.ico,31.8087678,-85.969951
Auburn University at Montgomery,Division II,Division II,Non-DI,Active Member,Gulf South Conference,Gulf South Conference,Non-HBCU,Public,Master's Colleges & Universities,"Montgomery, AL",www.aum.edu,www.aumathletics.com,32.3669656,-86.3006485,41.aum_favicon_2019.jpg.jpg,32.3669656,-86.3006485
University of West Florida,Division II,Division II,Non-DI,Active Member,Gulf South Conference,Gulf South Conference,Non-HBCU,Public,Master's Colleges & Universities,"Pensacola, FL",www.goargos.com,www.uwf.edu/,30.421309,-87.2169149,42.favicon.ico.ico,30.421309,-87.2169149
Mississippi University for Women,Division III,Division III,Non-DI,Provisional Member,Independent,Independent,Non-HBCU,Public,Master's Colleges & Universities,"Columbus, MS",www.muw.edu,www.owlsathletics.com/landing/index,33.4956744,-88.4272627,43.favicon.ico.ico,33.4956744,-88.4272627
Mississippi State University,Division I,Division I,DI FBS,Active Member,Southeastern Conference,Southeastern Conference,Non-HBCU,Public,Research Universities,"Mississippi State, MS",www.hailstate.com,www.msstate.edu/,33.4549304,-88.7859584,44.site.png.png,33.4549304,-88.7859584
The University of Southern Mississippi,Division I,Division I,DI FBS,Active Member,Conference USA,Conference USA,Non-HBCU,Public,Research Universities,"Hattiesburg, MS",Southernmiss.com,www.usm.edu/,31.3271189,-89.2903392,45.site.png.png,31.3271189,-89.2903392
Jackson State University,Division I,Division I,DI FCS,Active Member,Southwestern Athletic Conf.,Southwestern Athletic Conf.,HBCU,Public,Research Universities,"Jackson, MS",www.jsums.edu/,www.jsutigers.com,32.2990384,-90.1847691,46.favicon.ico.ico,32.2990384,-90.1847691
Belhaven University,Division III,Division III,Non-DI,Active Member,American Southwest Conference,American Southwest Conference,Non-HBCU,Private,Master's Colleges & Universities,"Jackson, MS",blazers.belhaven.edu,www.belhaven.edu,32.2990384,-90.1847691,47.favicon.ico.ico,32.2990384,-90.1847691
Millsaps College,Division III,Division III,Non-DI,Active Member,Southern Athletic Association,Southern Athletic Association,Non-HBCU,Private,Baccalaureate Colleges,"Jackson, MS",www.gomajors.com,www.millsaps.edu,32.2990384,-90.1847691,48.site.png.png,32.2990384,-90.1847691
Mississippi College,Division II,Division II,Non-DI,Active Member,Gulf South Conference,Gulf South Conference,Non-HBCU,Private,Research Universities,"Clinton, MS",www.gochoctaws.com,www.mc.edu,32.3415342,-90.3217585,49.site.png.png,32.3415342,-90.3217585
Mississippi Valley State University,Division I,Division I,DI FCS,Active Member,Southwestern Athletic Conf.,Southwestern Athletic Conf.,HBCU,Public,Master's Colleges & Universities,"Itta Bena, MS",www.mvsu.edu,www.mvsusports.com,33.49512,-90.3198067,50.favicon_3.ico.ico,33.49512,-90.3198067
Delta State University,Division II,Division II,Non-DI,Active Member,Gulf South Conference,Gulf South Conference,Non-HBCU,Public,Master's Colleges & Universities,"Cleveland, MS",www.deltastate.edu,www.gostatesmen.com,33.7440023,-90.7248187,51.favicon.png.png,33.7440023,-90.7248187
Oakland City University,Division II,Division II,Non-DI,Active Member,Independent,Independent,Non-HBCU,Private,Baccalaureate Colleges,"Oakland City, IN",www.oak.edu/,www.oak.edu/athletics2/index.php,38.3386591,-87.3450132,52.favicon-16x16.png.png,38.3386591,-87.3450132
Union University,Division II,Division II,Non-DI,Active Member,Gulf South Conference,Gulf South Conference,Non-HBCU,Private,Research Universities,"Jackson, TN",www.uu.edu,www.uuathletics.com,35.6144446,-88.8177418,53.UU_Crest_Horizontal_Color-200.png.png,35.6144446,-88.8177418
Lane College,Division II,Division II,Non-DI,Active Member,Southern Intercol. Ath. Conf.,Southern Intercol. Ath. Conf.,HBCU,Private,Baccalaureate Colleges,"Jackson, TN",www.golcdragons.com/,www.lanecollege.edu,35.6144446,-88.8177418,54.site.png.png,35.6144446,-88.8177418
University of Tennessee at Martin,Division I,Division I,DI FCS,Active Member,Ohio Valley Conference,Ohio Valley Conference,Non-HBCU,Public,Master's Colleges & Universities,"Martin, TN",www.utm.edu/,www.utmsports.com,35.7730076,-86.2820081,55.favicon.ico.ico,35.7730076,-86.2820081
Eastern Mennonite University,Division III,Division III,Non-DI,Active Member,Old Dominion Athletic Conf.,Old Dominion Athletic Conf.,Non-HBCU,Private,Master's Colleges & Universities,"Harrisonburg, VA",www.emu.edu,www.emuroyals.com,38.4493315,-78.8688833,56.favicon.ico.ico,38.4396675,-78.8701365
Trevecca Nazarene University,Division II,Division II,Non-DI,Active Member,Great Midwest Athletic Conference,Great Midwest Athletic Conference,Non-HBCU,Private,Research Universities,"Nashville, TN",www.tnutrojans.com/,www.trevecca.edu,36.1622296,-86.7743531,57.thumbnail_default.jpg.jpg,36.1622296,-86.7743531
Vanderbilt University,Division I,Division I,DI FBS,Active Member,Southeastern Conference,Southeastern Conference,Non-HBCU,Private,Research Universities,"Nashville, TN",www.vanderbilt.edu/,www.vucommodores.com,36.1622296,-86.7743531,58.favicon.ico.ico,36.1622296,-86.7743531
Lipscomb University,Division I,Division I,DI Subdivision,Active Member,ASUN Conference,ASUN Conference,Non-HBCU,Private,Research Universities,"Nashville, TN",www.lipscomb.edu,www.lipscombsports.com,36.1622296,-86.7743531,59.favicon-16x16.png.png,36.1622296,-86.7743531
Middle Tennessee State University,Division I,Division I,DI FBS,Active Member,Conference USA,Conference USA,Non-HBCU,Public,Research Universities,"Murfreesboro, TN",www.goblueraiders.com,www.mtsu.edu/,35.845999,-86.3920452,60.site.png.png,35.845999,-86.3920452
University of the South,Division III,Division III,Non-DI,Active Member,Southern Athletic Association,Southern Athletic Association,Non-HBCU,Private,Baccalaureate Colleges,"Sewanee, TN",sewaneetigers.com/,www.sewanee.edu/,35.2031373,-85.9210899,61.thumbnail_default.jpg.jpg,35.2031373,-85.9210899
Tennessee Technological University,Division I,Division I,DI FCS,Active Member,Ohio Valley Conference,Ohio Valley Conference,Non-HBCU,Public,Research Universities,"Cookeville, TN",www.TTUsports.com/,www.tntech.edu/,36.1623886,-85.4997057,62.thumbnail_default.jpg.jpg,36.1623886,-85.4997057
Shorter University,Division II,Division II,Non-DI,Active Member,Gulf South Conference,Gulf South Conference,Non-HBCU,Private,Master's Colleges & Universities,"Rome, GA",www.goshorterhawks.com,www.shorter.edu,34.257038,-85.1646726,63.favicon.ico.ico,34.257038,-85.1646726
Lee University,Division II,Division II,Non-DI,Active Member,Gulf South Conference,Gulf South Conference,Non-HBCU,Private,Master's Colleges & Universities,"Cleveland, TN",www.goleeflames.com,www.leeuniversity.edu/,35.1595182,-84.8766115,64.favicon.ico.ico,35.1595182,-84.8766115
Covenant College,Division III,Division III,Non-DI,Active Member,USA South Athletic Conference,USA South Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Lookout Mountain, GA",athletics.covenant.edu/,www.covenant.edu,34.9775758,-85.3577363,,34.9775758,-85.3577363
