School Name,Primary Division,Sport Division,Subdivision,Membership Status,Primary Conference,Sport Conference,HBCU/Non-HBCU,Public/Private,Carnegie Classification,City/State ,Primary URL,Secondary URL,Primary Icon,Updated Latitude,Updated Longitude
University of Maine at Presque Isle,Division III,Division III,Non-DI,Active Member,North Atlantic Conference,North Atlantic Conference,Non-HBCU,Public,Baccalaureate Colleges,"Presque Isle, ME",owls.umpi.edu/landing/index,www.umpi.edu,1_1.thumbnail_default.jpg,46.681479,-68.016357
Maine Maritime Academy,Division III,Division III,Non-DI,Active Member,North Atlantic Conference,North Atlantic Conference,Non-HBCU,Public,Baccalaureate Colleges,"Castine, ME",www.mainemaritime.edu/,www.marinersports.org,2_2.apple-touch-icon-180x180.png,44.388164,-68.79982
Colby College,Division III,Division III,Non-DI,Active Member,New England Small College Athletic Conference,New England Small College Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Waterville, ME",www.colby.edu,www.colby.edu/athletics,3_3.favicon.ico,44.5520105,-69.6317121
"University of Maine, Farmington",Division III,Division III,Non-DI,Active Member,North Atlantic Conference,North Atlantic Conference,Non-HBCU,Public,Baccalaureate Colleges,"Farmington, ME",www.goUMFbeavers.com,www.umf.maine.edu/,4_4.thumbnail_default.jpg,44.671094,-70.151825
Bates College,Division III,Division III,Non-DI,Active Member,New England Small College Athletic Conference,New England Small College Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Lewiston, ME",www.bates.edu,www.bates.edu/sport.xml,5_5.site.png,44.100351,-70.2147764
University of New England,Division III,Division III,Non-DI,Active Member,Commonwealth Coast Conference,Commonwealth Coast Conference,Non-HBCU,Private,Research Universities,"Biddeford, ME",athletics.une.edu,www.une.edu,6_6.site.png,43.4925843,-70.4533844
University of Southern Maine,Division III,Division III,Non-DI,Active Member,Little East Conference,Little East Conference,Non-HBCU,Public,Master's Colleges & Universities,"Gorham, ME",www.southernmainehuskies.com,www.usm.maine.edu,7_7.thumbnail_default.jpg,43.6796943,-70.4429342
Saint Joseph's College (Maine),Division III,Division III,Non-DI,Active Member,Great Northeast Athletic Conference,Great Northeast Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Standish, ME",www.gomonks.com,www.sjcme.edu,8_8.favicon-194x194.png,43.735879,-70.551453
Husson University,Division III,Division III,Non-DI,Active Member,North Atlantic Conference,North Coast Athletic Conference,Non-HBCU,Private,Research Universities,"Bangor, ME",www.husson.edu,www.hussoneagles.com,9_9.thumbnail_default.jpg,44.8011821,-68.7778138
"University of Maine, Orono",Division I,Division I,DI FCS,Active Member,America East Conference,America East Conference,Non-HBCU,Public,Research Universities,"Orono, ME",www.goblackbears.com,www.umaine.edu,10_10.site.png,44.883607,-68.672791
Bowdoin College,Division III,Division III,Non-DI,Active Member,New England Small College Athletic Conference,New England Small College Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Brunswick, ME",www.bowdoin.edu,www.bowdoin.edu/athletics/,11_11.site.png,43.9145244,-69.9653278
University of New Hampshire,Division I,Division I,DI FCS,Active Member,America East Conference,America East Conference,Non-HBCU,Public,Research Universities,"Durham, NH",www.unh.edu/,www.unhwildcats.com,12_12.site.png,43.134564,-70.927048
Southern New Hampshire University,Division II,Division II,Non-DI,Active Member,Northeast-10 Conference,Northeast-10 Conference,Non-HBCU,Private,Master's Colleges & Universities,"Manchester, NH",www.snhu.edu,www.snhupenmen.com,13_13.thumbnail_default.jpg,42.9956397,-71.4547891
Saint Anselm College,Division II,Division II,Non-DI,Active Member,Northeast-10 Conference,Northeast-10 Conference,Non-HBCU,Private,Baccalaureate Colleges,"Manchester, NH",www.anselm.edu,www.saintanselmhawks.com,14_14.favicon-194x194.png,42.9956397,-71.4547891
New England College,Division III,Division III,Non-DI,Active Member,New England Collegiate Conference,New England Collegiate Conference,Non-HBCU,Private,Master's Colleges & Universities,"Henniker, NH",athletics.nec.edu/,www.nec.edu/,15_15.favicon.ico,43.179645,-71.822433
Plymouth State University,Division III,Division III,Non-DI,Active Member,Little East Conference,Little East Conference,Non-HBCU,Public,Master's Colleges & Universities,"Plymouth, NH",www.plymouth.edu/,www.plymouth.edu/athletic/,16_16.site.png,43.757209,-71.688538
Colby-Sawyer College,Division III,Division III,Non-DI,Active Member,Great Northeast Athletic Conference,Great Northeast Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"New London, NH",www.colby-sawyer.edu,www.colby-sawyerathletics.com/index.aspx,17_17.site.png,43.414026,-71.985168
