"California State University, Chico",Division II,Division II,Non-DI,Active Member,California Collegiate Athletic Association,California Collegiate Athletic Association,Non-HBCU,Public,Master's Colleges & Universities,"Chico, CA",www.chicowildcats.com,www.csuchico.edu
"California State University, Sacramento",Division I,Division I,DI FCS,Active Member,Big Sky Conference,Western Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Sacramento, CA",www.csus.edu,www.hornetsports.com
University of the Pacific,Division I,Division I,DI Subdivision,Active Member,West Coast Conference,West Coast Conference,Non-HBCU,Private,Research Universities,"Stockton, CA",www.pacific.edu/,www.pacifictigers.com
Holy Names University,Division II,Division II,Non-DI,Active Member,Pacific West Conference,Pacific West Conference,Non-HBCU,Private,Master's Colleges & Universities,"Oakland, CA",www.hnu.edu,www.hnuhawks.com
Saint Mary's College of California,Division I,Division I,DI Subdivision,Active Member,West Coast Conference,West Coast Conference,Non-HBCU,Private,Master's Colleges & Universities,"Moraga, CA",www.SMCGaels.com,www.stmarys-ca.edu/
"University of California, Berkeley",Division I,Division I,DI FBS,Active Member,Pac-12 Conference,Pac-12 Conference,Non-HBCU,Public,Research Universities,"Berkeley, CA",www.berkeley.edu,www.calbears.com
Academy of Art University,Division II,Division II,Non-DI,Active Member,Pacific West Conference,Pacific West Conference,Non-HBCU,Private,Master's Colleges & Universities,"San Francisco, CA",www.academyart.edu,www.artuathletics.com
Sonoma State University,Division II,Division II,Non-DI,Active Member,California Collegiate Athletic Association,California Collegiate Athletic Association,Non-HBCU,Public,Master's Colleges & Universities,"Rohnert Park, CA",www.sonoma.edu/,www.sonomaseawolves.com
University of San Francisco,Division I,Division I,DI Subdivision,Active Member,West Coast Conference,West Coast Conference,Non-HBCU,Private,Research Universities,"San Francisco, CA",www.USFDons.com,www.usfca.edu
San Francisco State University,Division II,Division II,Non-DI,Active Member,California Collegiate Athletic Association,California Collegiate Athletic Association,Non-HBCU,Public,Master's Colleges & Universities,"San Francisco, CA",sfstategators.com,www.sfsu.edu/
"California State University, East Bay",Division II,Division II,Non-DI,Active Member,California Collegiate Athletic Association,California Collegiate Athletic Association,Non-HBCU,Public,Master's Colleges & Universities,"Hayward, CA",www.csueastbay.edu,www.eastbaypioneers.com
Santa Clara University,Division I,Division I,DI Subdivision,Active Member,West Coast Conference,West Coast Conference,Non-HBCU,Private,Research Universities,"Santa Clara, CA",www.santaclarabroncos.com,www.scu.edu
Stanford University,Division I,Division I,DI FBS,Active Member,Pac-12 Conference,Pac-12 Conference,Non-HBCU,Private,Research Universities,"Stanford, CA",www.gostanford.com,www.stanford.edu
San Jose State University,Division I,Division I,DI FBS,Active Member,Mountain West Conference,Mountain West Conference,Non-HBCU,Public,Master's Colleges & Universities,"San Jose, CA",www.sjsu.edu,www.sjsuspartans.com
"California State University, Stanislaus",Division II,Division II,Non-DI,Active Member,California Collegiate Athletic Association,California Collegiate Athletic Association,Non-HBCU,Public,Master's Colleges & Universities,"Turlock, CA",www.csustan.edu,www.warriorathletics.com
"California State University, Monterey Bay",Division II,Division II,Non-DI,Active Member,California Collegiate Athletic Association,California Collegiate Athletic Association,Non-HBCU,Public,Master's Colleges & Universities,"Seaside, CA",www.csumb.edu,www.otterathletics.com
"California State University, Fresno",Division I,Division I,DI FBS,Active Member,Mountain West Conference,Mountain West Conference,Non-HBCU,Public,Research Universities,"Fresno, CA",www.csufresno.edu,www.gobulldogs.com
Fresno Pacific University,Division II,Division II,Non-DI,Active Member,Pacific West Conference,Pacific West Conference,Non-HBCU,Private,Master's Colleges & Universities,"Fresno, CA",fpuathletics.com/,www.fresno.edu
"California State University, Northridge",Division I,Division I,DI Subdivision,Active Member,Big West Conference,Big West Conference,Non-HBCU,Public,Master's Colleges & Universities,"Northridge, CA",www.GoMatadors.com,www.csun.edu
"University of California, Los Angeles",Division I,Division I,DI FBS,Active Member,Pac-12 Conference,Pac-12 Conference,Non-HBCU,Public,Research Universities,"Los Angeles, CA",www.ucla.edu,www.uclabruins.com
California Institute of Technology,Division III,Division III,Non-DI,Active Member,Southern California Intercollegiate Athletic Conf.,Southern California Intercollegiate Athletic Conf.,Non-HBCU,Private,Research Universities,"Pasadena, CA",www.caltech.edu,www.gocaltech.com
Azusa Pacific University,Division II,Division II,Non-DI,Active Member,Pacific West Conference,Pacific West Conference,Non-HBCU,Private,Research Universities,"Azusa, CA",www.apu.edu,www.apu.edu/athletics
"California State University, San Bernardino",Division II,Division II,Non-DI,Active Member,California Collegiate Athletic Association,California Collegiate Athletic Association,Non-HBCU,Public,Master's Colleges & Universities,"San Bernardino, CA",www.csusb.edu,www.csusbathletics.com
University of Redlands,Division III,Division III,Non-DI,Active Member,Southern California Intercollegiate Athletic Conf.,Southern California Intercollegiate Athletic Conf.,Non-HBCU,Private,Master's Colleges & Universities,"Redlands, CA",www.goredlands.com,www.redlands.edu
"California State Polytechnic University, Pomona",Division II,Division II,Non-DI,Active Member,California Collegiate Athletic Association,California Collegiate Athletic Association,Non-HBCU,Public,Master's Colleges & Universities,"Pomona, CA",www.broncoathletics.com,www.cpp.edu
Whittier College,Division III,Division III,Non-DI,Active Member,Southern California Intercollegiate Athletic Conf.,Southern California Intercollegiate Athletic Conf.,Non-HBCU,Private,Baccalaureate Colleges,"Whittier, CA",www.wcpoets.com,www.whittier.edu
Long Beach State University,Division I,Division I,DI Subdivision,Active Member,Big West Conference,Big West Conference,Non-HBCU,Public,Master's Colleges & Universities,"Long Beach, CA",longbeachstate.com,www.csulb.edu
Concordia University Irvine,Division II,Division II,Non-DI,Active Member,Pacific West Conference,Pacific West Conference,Non-HBCU,Private,Master's Colleges & Universities,"Irvine, CA",www.cui.edu,www.cuieagles.com
"University of California, Irvine",Division I,Division I,DI Subdivision,Active Member,Big West Conference,Big West Conference,Non-HBCU,Public,Research Universities,"Irvine, CA",www.uci.edu,www.ucirvinesports.com/landing/index
California Baptist University,Division II,Division II,Non-DI,II Reclassifying to I (B20.5.2.1),Western Athletic Conference,Western Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Riverside, CA",www.calbaptist.edu,www.cbulancers.com
