West Virginia University,Division I,Division I,DI FBS,Active Member,Big 12 Conference,Big 12 Conference,Non-HBCU,Public,Research Universities,"Morgantown, WV",www.wvu.edu,www.wvusports.com,39.6296809,-79.9559437,[],[]
Austin Peay State University,Division I,Division I,DI FCS,Active Member,Ohio Valley Conference,Ohio Valley Conference,Non-HBCU,Public,Master's Colleges & Universities,"Clarksville, TN",www.apsu.edu,www.apsu.edu/letsgopeay/,36.5277607,-87.3588703,[],[]
Frostburg State University,Division III,Division III,Non-DI,Reclass DIII to DII (B20.6.3.1),Mountain East Conference,Mountain East Conference,Non-HBCU,Public,Master's Colleges & Universities,"Frostburg, MD",www.frostburg.edu/,www.frostburgsports.com,39.6581425,-78.928357,"['_files/images/fsu-logo.png', 'https://www.frostburg.edu/_files/images/fsu-logo-paw.png']","['https://www.frostburg.edu/', 'https://www.frostburg.edu/']"
Davis & Elkins College,Division II,Division II,Non-DI,Active Member,Mountain East Conference,Mountain East Conference,Non-HBCU,Private,Baccalaureate Colleges,"Elkins, WV",www.dewv.edu,www.senatornation.com,38.925927,-79.8466552,['/sites/all/themes/de/logo1.png'],['https://www.dewv.edu']
West Virginia Wesleyan College,Division II,Division II,Non-DI,Active Member,Mountain East Conference,Mountain East Conference,Non-HBCU,Private,Master's Colleges & Universities,"Buckhannon, WV",wesleyanbobcats.com,www.wvwc.edu/,38.9939426,-80.2322698,"['/images/responsive/logo_main-new-3.svg', '/images/responsive/logo_scroll-new.svg']","['https://wesleyanbobcats.com', 'https://wesleyanbobcats.com']"
Glenville State College,Division II,Division II,Non-DI,Active Member,Mountain East Conference,Mountain East Conference,Non-HBCU,Public,Baccalaureate Colleges,"Glenville, WV",www.glenville.edu,www.gscpioneers.com/,38.9342573,-80.8376033,"['/themes/custom/glenville/logo.svg', '/themes/custom/glenville/logo-tall.svg']","['https://www.glenville.edu', 'https://www.glenville.edu']"
Ohio Valley University,Division II,Division II,Non-DI,Active Member,Great Midwest Athletic Conference,Great Midwest Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Vienna, WV",fightingscots.ovu.edu/,www.ovu.edu/,39.3208866,-81.5512639,"['/images/header_logo.png', 'https://s3.amazonaws.com/sidearm.sites/ovu.sidearmsports.com/images/2015/12/7/moes_logo.jpg', 'https://s3.amazonaws.com/sidearm.sites/ovu.sidearmsports.com/images/2015/6/4/bsn_logo.png', '/common/controls/image_handler.aspx?thumb_prefix=xsmall&image_path=/images/2017/12/11/holiday_inn_express_logo_1_1_.jpg']","['https://fightingscots.ovu.edu/', 'https://fightingscots.ovu.edu/', 'https://fightingscots.ovu.edu/', 'https://fightingscots.ovu.edu/']"
Alderson Broaddus University,Division II,Division II,Non-DI,Active Member,Great Midwest Athletic Conference,Great Midwest Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Philippi, WV",ab.edu,www.gobattlers.com,39.1523198,-80.0403578,['/wp-content/uploads/2019/09/main-logo2.png'],['https://ab.edu']
University of Alabama at Birmingham,Division I,Division I,DI FBS,Active Member,Conference USA,Conference USA,Non-HBCU,Public,Research Universities,"Birmingham, AL",www.uab.edu,www.uabsports.com,33.5206824,-86.8024326,['/wp-content/uploads/2019/09/main-logo2.png'],['https://ab.edu']
Fairmont State University,Division II,Division II,Non-DI,Active Member,Mountain East Conference,Mountain East Conference,Non-HBCU,Public,Master's Colleges & Universities,"Fairmont, WV",www.fairmontstate.edu,www.fightingfalcons.com,39.4850848,-80.1425781,['//www.fairmontstate.edu/files/themes/md/images/fsu-logo-white.png'],['https://www.fairmontstate.edu']
Marietta College,Division III,Division III,Non-DI,Active Member,Ohio Athletic Conference,Ohio Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Marietta, OH",pioneers.marietta.edu/,www.marietta.edu/,39.4167742,-81.4548392,[],[]
Berea College,Division III,Division III,Non-DI,Active Member,USA South Athletic Conference,USA South Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Berea, KY",www.berea.edu,www.bereaathletics.com,37.568694,-84.2963224,['https://4efrxppj37l1sgsbr1ye6idr-wpengine.netdna-ssl.com/wp-content/themes/bc-wp-2015/assets/images/bc-logo-stacked.svg'],['https://www.berea.edu']
