New Mexico State University,Division I,Division I,DI FBS,Active Member,Western Athletic Conference,Western Athletic Conference,Non-HBCU,Public,Research Universities,"Las Cruces, NM",www.nmstatesports.com,www.nmsu.edu
University of Texas at El Paso,Division I,Division I,DI FBS,Active Member,Conference USA,Conference USA,Non-HBCU,Public,Research Universities,"El Paso, TX",www.utep.edu/,www.utepathletics.com
Hardin-Simmons University,Division III,Division III,Non-DI,Active Member,American Southwest Conference,American Southwest Conference,Non-HBCU,Private,Master's Colleges & Universities,"Abilene, TX",hsuathletics.com,www.hsutx.edu
Sul Ross State University,Division III,Division III,Non-DI,Active Member,American Southwest Conference,American Southwest Conference,Non-HBCU,Public,Master's Colleges & Universities,"Alpine, TX",www.srlobos.com,www.sulross.edu/
University of Texas at San Antonio,Division I,Division I,DI FBS,Active Member,Conference USA,Conference USA,Non-HBCU,Public,Research Universities,"San Antonio, TX",www.goutsa.com,www.utsa.edu
Oakland City University,Division II,Division II,Non-DI,Active Member,Independent,Independent,Non-HBCU,Private,Baccalaureate Colleges,"Oakland City, IN",www.oak.edu/,www.oak.edu/athletics2/index.php
Louisiana College,Division III,Division III,Non-DI,Active Member,American Southwest Conference,American Southwest Conference,Non-HBCU,Private,Master's Colleges & Universities,"Pineville, LA",www.lacollege.edu,www.lcwildcats.net
Texas A&M International University,Division II,Division II,Non-DI,Active Member,Lone Star Conference,Lone Star Conference,Non-HBCU,Public,Master's Colleges & Universities,"Laredo, TX",www.tamiu.edu,www.tamiu.edu/athletics/
The University of Texas Rio Grande Valley,Division I,Division I,DI Subdivision,Active Member,Western Athletic Conference,Western Athletic Conference,Non-HBCU,Public,Research Universities,"Edinburg, TX",goutrgv.com,www.utrgv.edu
Texas A&M University-Kingsville,Division II,Division II,Non-DI,Active Member,Lone Star Conference,Lone Star Conference,Non-HBCU,Public,Research Universities,"Kingsville, TX",www.javelinaathletics.com,www.tamuk.edu/
Texas A&M University-Corpus Christi,Division I,Division I,DI Subdivision,Active Member,Southland Conference,Southland Conference,Non-HBCU,Public,Research Universities,"Corpus Christi, TX",www.goislanders.com,www.tamucc.edu/
St. Mary's University (Texas),Division II,Division II,Non-DI,Active Member,Lone Star Conference,Lone Star Conference,Non-HBCU,Private,Master's Colleges & Universities,"San Antonio, TX",www.rattlerathletics.com,www.stmarytx.edu/
Trinity University (Texas),Division III,Division III,Non-DI,Active Member,Southern Collegiate Athletic Conference,Southern Collegiate Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"San Antonio, TX",www.trinity.edu,www.trinitytigers.com
Texas Lutheran University,Division III,Division III,Non-DI,Active Member,Southern Collegiate Athletic Conference,Southern Collegiate Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Seguin, TX",www.tlu.edu,www.tlubulldogs.com/
Texas State University,Division I,Division I,DI FBS,Active Member,Sun Belt Conference,Sun Belt Conference,Non-HBCU,Public,Research Universities,"San Marcos, TX",www.txstate.edu/,www.txstatebobcats.com
St. Edward's University,Division II,Division II,Non-DI,Active Member,Lone Star Conference,Lone Star Conference,Non-HBCU,Private,Master's Colleges & Universities,"Austin, TX",www.GoHilltoppers.com,www.stedwards.edu/
Concordia University Texas,Division III,Division III,Non-DI,Active Member,American Southwest Conference,American Southwest Conference,Non-HBCU,Private,Master's Colleges & Universities,"Austin, TX",www.athletics.concordia.edu,www.concordia.edu/
Howard Payne University,Division III,Division III,Non-DI,Active Member,American Southwest Conference,American Southwest Conference,Non-HBCU,Private,Baccalaureate Colleges,"Brownwood, TX",www.hpusports.com,www.hputx.edu
University of Texas at Austin,Division I,Division I,DI FBS,Active Member,Big 12 Conference,Big 12 Conference,Non-HBCU,Public,Research Universities,"Austin, TX",www.TexasSports.com,www.utexas.edu
Prairie View A&M University,Division I,Division I,DI FCS,Active Member,Southwestern Athletic Conf.,Southwestern Athletic Conf.,HBCU,Public,Master's Colleges & Universities,"Prairie View, TX",www.pvamu.edu,www.pvpanthers.com
