School Name,Primary Division,Sport Division,Subdivision,Membership Status,Primary Conference,Sport Conference,HBCU/Non-HBCU,Public/Private,Carnegie Classification,City/State ,Primary URL,Secondary URL,Primary Icon
Boston College,Division I,Division I,DI FBS,Active Member,Atlantic Coast Conference,Atlantic Coast Conference,Non-HBCU,Private,Research Universities,"Chestnut Hill, MA",www.bc.edu,www.bceagles.com,1_1.site.png
"University of Massachusetts, Amherst",Division I,Division I,DI FBS,Active Member,Atlantic 10 Conference,Independent,Non-HBCU,Public,Research Universities,"Amherst, MA",www.umass.edu/,www.umassathletics.com,2_2.site.png
University of Connecticut,Division I,Division I,DI FBS,Active Member,American Athletic Conference,American Athletic Conference,Non-HBCU,Public,Research Universities,"Storrs, CT",www.uconn.edu,www.uconnhuskies.com,3_3.site.png
U.S. Military Academy,Division I,Division I,DI FBS,Active Member,Patriot League,Independent,Non-HBCU,Public,Baccalaureate Colleges,"West Point, NY",www.goArmyWestPoint.com,www.usma.edu/,4_4.favicon-16x16.png
Syracuse University,Division I,Division I,DI FBS,Active Member,Atlantic Coast Conference,Atlantic Coast Conference,Non-HBCU,Private,Research Universities,"Syracuse, NY",suathletics.com,www.syr.edu/,5_5.apple-touch-icon.png
"Rutgers, The State University of New Jersey, New Brunswick",Division I,Division I,DI FBS,Active Member,Big Ten Conference,Big Ten Conference,Non-HBCU,Public,Research Universities,"New Brunswick, NJ",www.rutgers.edu,www.scarletknights.com,6_6.site.png
Temple University,Division I,Division I,DI FBS,Active Member,American Athletic Conference,American Athletic Conference,Non-HBCU,Public,Research Universities,"Philadelphia, PA",www.owlsports.com,www.temple.edu/,7_7.favicon.ico
Pennsylvania State University,Division I,Division I,DI FBS,Active Member,Big Ten Conference,Big Ten Conference,Non-HBCU,Public,Research Universities,"University Park, PA",goPSUsports.com,www.psu.edu,8_8.favicon.ico
University of Virginia,Division I,Division I,DI FBS,Active Member,Atlantic Coast Conference,Atlantic Coast Conference,Non-HBCU,Public,Research Universities,"Charlottesville, VA",www.virginia.edu/,www.virginiasports.com/,9_9.amt-Yurr3nfY8WdRkHUr-5682871a-basketball_crop.jpg
Liberty University,Division I,Division I,DI FBS,Active Member,ASUN Conference,Independent,Non-HBCU,Private,Research Universities,"Lynchburg, VA",www.LibertyFlames.com,www.liberty.edu,10_10.favicon.ico
