School Name,Primary Division,Sport Division,Subdivision,Membership Status,Primary Conference,Sport Conference,HBCU/Non-HBCU,Public/Private,Carnegie Classification,City/State ,Primary URL,Secondary URL,Primary Icon
Southern Illinois University Edwardsville,Division I,Division I,DI Subdivision,Active Member,Ohio Valley Conference,Ohio Valley Conference,Non-HBCU,Public,Research Universities,"Edwardsville, IL",www.siue.edu,www.siuecougars.com,501_501.thumbnail_default.jpg
McKendree University,Division II,Division II,Non-DI,Active Member,Great Lakes Valley Conference,Great Lakes Valley Conference,Non-HBCU,Private,Master's Colleges & Universities,"Lebanon, IL",www.mckbearcats.com,www.mckendree.edu,502_502.site.png
Blackburn College,Division III,Division III,Non-DI,Active Member,St. Louis Intercollegiate Athletic Conference,St. Louis Intercollegiate Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Carlinville, IL",blackburnbeavers.com,www.blackburn.edu,503_503.thumbnail_default.jpg
Eastern Illinois University,Division I,Division I,DI FCS,Active Member,Ohio Valley Conference,Ohio Valley Conference,Non-HBCU,Public,Master's Colleges & Universities,"Charleston, IL",www.eiu.edu,www.eiupanthers.com,504_504.site.png
Illinois College,Division III,Division III,Non-DI,Active Member,Midwest Conference,Midwest Conference,Non-HBCU,Private,Baccalaureate Colleges,"Jacksonville, IL",www.ic.edu,www.illinoiscollegeathletics.com/,505_505.site.png
Illinois Wesleyan University,Division III,Division III,Non-DI,Active Member,College Conference of Illinois & Wisconsin,College Conference of Illinois & Wisconsin,Non-HBCU,Private,Baccalaureate Colleges,"Bloomington, IL",www.iwu.edu/,www2.iwu.edu/sports/index.php,506_506.site.png
Illinois State University,Division I,Division I,DI FCS,Active Member,Missouri Valley Conference,Missouri Valley Conference,Non-HBCU,Public,Research Universities,"Normal, IL",goredbirds.com,www.ilstu.edu,507_507.favicon.ico
Quincy University,Division II,Division II,Non-DI,Active Member,Great Lakes Valley Conference,Great Lakes Valley Conference,Non-HBCU,Private,Baccalaureate Colleges,"Quincy, IL",quhawks.com,www.quincy.edu/,508_508.site.png
Western Illinois University,Division I,Division I,DI FCS,Active Member,The Summit League,The Summit League,Non-HBCU,Public,Master's Colleges & Universities,"Macomb, IL",www.goleathernecks.com,www.wiu.edu,509_509.site.png
Bradley University,Division I,Division I,DI Subdivision,Active Member,Missouri Valley Conference,Missouri Valley Conference,Non-HBCU,Private,Master's Colleges & Universities,"Peoria, IL",www.bradley.edu,www.bradleybraves.com,510_510.site.png
Knox College,Division III,Division III,Non-DI,Active Member,Midwest Conference,Midwest Conference,Non-HBCU,Private,Baccalaureate Colleges,"Galesburg, IL",prairiefire.knox.edu,www.knox.edu,511_511.site.png
Monmouth College (Illinois),Division III,Division III,Non-DI,Active Member,Midwest Conference,Midwest Conference,Non-HBCU,Private,Baccalaureate Colleges,"Monmouth, IL",www.monm.edu/,www.monm.edu/sportsinfo,
Rockford University,Division III,Division III,Non-DI,Active Member,Northern Athletics Collegiate Conference,Northern Athletics Collegiate Conference,Non-HBCU,Private,Master's Colleges & Universities,"Rockford, IL",www.goregents.com,www.rockford.edu,513_513.favicon-194x194.png
Eureka College,Division III,Division III,Non-DI,Active Member,St. Louis Intercollegiate Athletic Conference,St. Louis Intercollegiate Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Eureka, IL",www.eureka.edu,www.eurekareddevils.com,
North Central College,Division III,Division III,Non-DI,Active Member,College Conference of Illinois & Wisconsin,College Conference of Illinois & Wisconsin,Non-HBCU,Private,Master's Colleges & Universities,"Naperville, IL",northcentralcardinals.com,www.noctrl.edu/,515_515.site.png
Aurora University,Division III,Division III,Non-DI,Active Member,Northern Athletics Collegiate Conference,Northern Athletics Collegiate Conference,Non-HBCU,Private,Research Universities,"Aurora, IL",athletics.aurora.edu,www.aurora.edu,516_516.site.png
Wheaton College (Illinois),Division III,Division III,Non-DI,Active Member,College Conference of Illinois & Wisconsin,College Conference of Illinois & Wisconsin,Non-HBCU,Private,Baccalaureate Colleges,"Wheaton, IL",athletics.wheaton.edu,www.wheaton.edu,517_517.site.png
University of Chicago,Division III,Division III,Non-DI,Active Member,University Athletic Association,University Athletic Association,Non-HBCU,Private,Research Universities,"Chicago, IL",www.athletics.uchicago.edu,www.uchicago.edu,
Chicago State University,Division I,Division I,DI Subdivision,Active Member,Western Athletic Conference,Western Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Chicago, IL",www.csu.edu,www.gocsucougars.com,519_519.site.png
University of Illinois at Chicago,Division I,Division I,DI Subdivision,Active Member,Horizon League,Horizon League,Non-HBCU,Public,Research Universities,"Chicago, IL",www.uic.edu,www.uicflames.com,520_520.site.png
Lewis University,Division II,Division II,Non-DI,Active Member,Great Lakes Valley Conference,Great Lakes Valley Conference,Non-HBCU,Private,Master's Colleges & Universities,"Romeoville, IL",www.lewisflyers.com,www.lewisu.edu,521_521.favicon.ico
Loyola University Chicago,Division I,Division I,DI Subdivision,Active Member,Missouri Valley Conference,Missouri Valley Conference,Non-HBCU,Private,Research Universities,"Chicago, IL",www.loyolaramblers.com,www.luc.edu/,522_522.site.png
Benedictine University (Illinois),Division III,Division III,Non-DI,Active Member,Northern Athletics Collegiate Conference,Northern Athletics Collegiate Conference,Non-HBCU,Private,Research Universities,"Lisle, IL",www.ben.edu,www.benueagles.com,523_523.site.png
Dominican University (Illinois),Division III,Division III,Non-DI,Active Member,Northern Athletics Collegiate Conference,Northern Athletics Collegiate Conference,Non-HBCU,Private,Master's Colleges & Universities,"River Forest, IL",www.dom.edu,www.dustars.com,524_524.site.png
Elmhurst College,Division III,Division III,Non-DI,Active Member,College Conference of Illinois & Wisconsin,College Conference of Illinois & Wisconsin,Non-HBCU,Private,Master's Colleges & Universities,"Elmhurst, IL",www.elmhurstbluejays.com/,www.public.elmhurst.edu/,525_525.site.png
North Park University,Division III,Division III,Non-DI,Active Member,College Conference of Illinois & Wisconsin,College Conference of Illinois & Wisconsin,Non-HBCU,Private,Master's Colleges & Universities,"Chicago, IL",www.northpark.edu/,www.northpark.edu/athletics/,526_526.site.png
Concordia University Chicago,Division III,Division III,Non-DI,Active Member,Northern Athletics Collegiate Conference,Northern Athletics Collegiate Conference,Non-HBCU,Private,Master's Colleges & Universities,"River Forest, IL",www.CUCougars.com,www.cuchicago.edu,527_527.site.png
DePaul University,Division I,Division I,DI Subdivision,Active Member,Big East Conference,Big East Conference,Non-HBCU,Private,Research Universities,"Chicago, IL",www.depaul.edu,www.depaulbluedemons.com,528_528.site.png
Northwestern University,Division I,Division I,DI FBS,Active Member,Big Ten Conference,Big Ten Conference,Non-HBCU,Private,Research Universities,"Evanston, IL",www.northwestern.edu/,www.nusports.com,529_529.favicon.ico
